"";"elokuva";"katsojat";"vuosi";"levittaja";"enskari";"orignimi";"maa"
"1571";"Lucky Number Slevin";17647;"2006";"Scanbox Finland Oy";2006-05-26;"Lucky Number Slevin";"USA"
"1572";"X-Men: Viimeinen kohtaaminen";60855;"2006";"FS Film Oy";2006-05-24;"X-Men: The Last Stand";"USA"
"1573";"Da Vinci -koodi";365473;"2006";"Nordisk Film Theatrical Distribution Oy";2006-05-19;"The Da Vinci Code";"USA"
"1574";"Asterix ja viikingit";40290;"2006";"FS Film Oy";2006-05-12;"Astérix et les Vikings";"RANSKA-TANSKA"
"1575";"Poliisipiiri 36";865;"2006";"Nordisk Film Theatrical Distribution Oy";2006-05-12;"36 Quai des Orfèvres";"RANSKA"
"1576";"Tie Guantanamoon";3081;"2006";"Sandrew Metronome Dist.";2006-05-12;"The Road to Guantanamo";"ENGLANTI"
"1577";"Alaston totuus";1074;"2006";"Scanbox Finland Oy";2006-05-05;"Where The Truth Lies";"KANADA-ENGLANTI-IRLANTI"
"1578";"M:I III - vaarallinen tehtävä III";69583;"2006";"Finnkino / United International Pictures";2006-05-05;"Mission: Impossible III";"USA"
"1579";"Valkoinen Masai";11549;"2006";"FS Film Oy";2006-05-05;"Die Weisse Massai";"SAKSA"
"1580";"Bandidas";2878;"2006";"Nordisk Film Theatrical Distribution Oy";2006-04-28;"Bandidas";"USA-MEKSIKO-RANSKA"
"1581";"Freedomland";3222;"2006";"FS Film Oy";2006-04-28;"Freedomland";"USA"
"1582";"Hamekyttä 2";18381;"2006";"FS Film Oy";2006-04-28;"Big Momma's House 2";"USA"
"1583";"Kun sydän lakka lyömästä";6306;"2006";"Bio Rex Cinemas";2006-04-21;"De battre mon coeur s'est arrêté";"RANSKA"
"1584";"Muuttohaluton poikamies";8365;"2006";"The Walt Disney Company Nordic";2006-04-21;"Failure to Launch";"USA"
"1585";"Running Scared";1417;"2006";"Nordisk Film Theatrical Distribution Oy";2006-04-21;"Running Scared";"USA-SAKSA"
"1586";"Lassie";9265;"2006";"FS Film Oy";2006-04-14;"Lassie";"USA-IRLANTI-RANSKA-UK"
"1587";"Lilla Jönssonligan och stjärnkuppen";976;"2006";"FS Film Oy";2006-04-14;"Lilla Jönssonligan och stjärnkuppen";"RUOTSI"
"1588";"Scary Movie 4";46038;"2006";"The Walt Disney Company Nordic";2006-04-14;"Scary Movie 4";"USA"
"1589";"Basic Instinct 2";13541;"2006";"FS Film Oy";2006-04-07;"Basic Instinct 2";"USA-UK-SAKSA-ESPANJA"
"1590";"Don't Come Knocking";5814;"2006";"Cinema Mondo Oy";2006-04-07;"Don't Come Knocking";"SAKSA-RANSKA-USA"
"1591";"Elämä on I-ha-haa";760;"2006";"Kinoscreen Illusion";2006-04-07;"Vinnare och fölorare";"RUOTSI-SUOMI"
"1592";"Fateless - ikuisesti merkitty";592;"2006";"Kamras Film Group";2006-04-07;"Sorstalanság";"SAKSA-UK-UNKARI"
"1593";"The Hills Have Eyes";4681;"2006";"FS Film Oy";2006-04-07;"The Hills Have Eyes";"USA"
"1594";"Valkoinen kreivitär";5070;"2006";"Nordisk Film Theatrical Distribution Oy";2006-04-07;"The White Countess";"USA-SAKSA-UK-KIINA"
"1595";"Matador";4476;"2006";"Scanbox Finland Oy";2006-04-01;"Matador, The";"USA-SAKSA-IRLANTI"
"1596";"Viva Zapatero";352;"2006";"Cinema Mondo Oy";2006-04-01;"Viva Zapatero";"ITALIA"
"1597";"Duudsonit elokuva";32320;"2006";"FS Film Oy";2006-03-31;"The Dudesons Movie";"SUOMI"
"1598";"Ice Age 2 Jäätikkö sulaa";272379;"2006";"FS Film Oy";2006-03-31;"Ice Age 2: The Meltdown";"USA"
"1599";"Inside Man";27660;"2006";"The Walt Disney Company Nordic";2006-03-31;"Inside Man";"USA"
"1600";"Romance & Cigarettes";684;"2006";"Sandrew Metronome Dist.";2006-03-31;"Romance & Cigarettes";"USA"
"1601";"The Proposition";5805;"2006";"Cinema Mondo Oy";2006-03-31;"The Proposition";"AUSTRALIA-ISO-BRITANIA"
"1602";"Date Movie";8658;"2006";"FS Film Oy";2006-03-24;"Date Movie";"USA"
"1603";"Lapsi";1175;"2006";"Future Film";2006-03-24;"L'enfant";"BELGIA"
"1604";"Mami hoitaa";6567;"2006";"Nordisk Film Theatrical Distribution Oy";2006-03-24;"Keeping Mum";"ENGLANTI"
"1605";"The Libertine";5235;"2006";"Scanbox Finland Oy";2006-03-24;"The Libertine";"ENGLANTI"
"1606";"V niinkuin verikosto";57437;"2006";"Sandrew Metronome Dist.";2006-03-24;"V for Vendetta";"SAKSAN -USA"
"1607";"Kenen joukoissa seisot";13717;"2006";"Sandrew Metronome Dist.";2006-03-17;"Kenen joukoissa seisot";"SUOMI"
"1608";"Satumainen lastenvahti";16377;"2006";"The Walt Disney Company Nordic";2006-03-17;"Nanny McPhee";"USA-ENGLANTI-RANSKA"
"1609";"Casanova";13539;"2006";"The Walt Disney Company Nordic";2006-03-10;"Casanova";"USA"
"1610";"Palindromes";3977;"2006";"Bio Rex Cinemas";2006-03-10;"Palindromes";"USA"
"1611";"Syriana";18368;"2006";"Sandrew Metronome Dist.";2006-03-10;"Syriana";"USA"
"1612";"Tsotsi";3398;"2006";"Scanbox Finland Oy";2006-03-10;"Tsotsi";"ENGLANTI-ETELÄ-AFRIKKA"
"1613";"Vaaleanpunainen pantteri";68956;"2006";"FS Film Oy";2006-03-10;"The Pink Panther";"USA"
"1614";"Memoirs of a Geisha";91262;"2006";"Nordisk Film Theatrical Distribution Oy";2006-03-03;"Memoirs of a Geisha";"USA"
"1615";"Rent";1368;"2006";"FS Film Oy";2006-03-03;"Rent";"USA"
"1616";"Säämies";1123;"2006";"Nordisk Film Theatrical Distribution Oy";2006-03-03;"The Weather Man";"USA"
"1617";"Tiikeri ja lumi";3977;"2006";"Nordisk Film Theatrical Distribution Oy";2006-03-03;"La Tigre e la neve";"ITALIA"
"1618";"9. komppania";15920;"2006";"Scanbox Finland Oy";2006-03-03;"9-ya-Rota";"VENÄJÄ"
"1619";"Capote";14759;"2006";"Nordisk Film Theatrical Distribution Oy";2006-02-24;"Capote";"USA"
"1620";"Maailman nopein intiaani";5953;"2006";"Cinema Mondo Oy";2006-02-24;"The World's Fastest Indian";"UUSI SEELANTI"
"1621";"Mrs. Henderson esittää";1332;"2006";"Sandrew Metronome Dist.";2006-02-24;"Mrs. Henderson Presents";"ENGLANTI"
"1622";"Pavlovin koirat";1223;"2006";"Scanbox Finland Oy";2006-02-24;"Pavlovin koirat";"SUOMI"
"1623";"The New World";17621;"2006";"FS Film Oy";2006-02-24;"The New World";"USA"
"1624";"Bambi 2";74537;"2006";"The Walt Disney Company Nordic";2006-02-17;"Bambi 2";"USA"
"1625";"Good Night and Good Luck";10897;"2006";"Scanbox Finland Oy";2006-02-17;"Good Night and Good Luck";"USA"
"1626";"Kummelin Jackpot";229701;"2006";"The Walt Disney Company Nordic";2006-02-17;"Jackpot";"SUOMI"
"1627";"Oikeanlaista kemiaa";16914;"2006";"Nordisk Film Theatrical Distribution Oy";2006-02-17;"Prime";"USA"
"1628";"Transamerica";8238;"2006";"Nordisk Film Theatrical Distribution Oy";2006-02-17;"Transamerica";"USA"
"1629";"München";29278;"2006";"Finnkino / United International Pictures";2006-02-10;"Munich";"USA"
"1630";"Saippuaprinssi";54366;"2006";"FS Film Oy";2006-02-10;"Saippuaprinssi";"SUOMI"
"1631";"Laitakaupungin valot";38507;"2006";"Sandrew Metronome Dist.";2006-02-03;"Laitakaupungin valot";"SUOMI"
"1632";"Walk the Line";63434;"2006";"FS Film Oy";2006-02-03;"Walk the Line";"USA"
"1633";"Brokeback Mountain";98215;"2006";"Sandrew Metronome Dist.";2006-01-27;"Brokeback Mountain";"USA-KANADA"
"1634";"Pikku Kananen";128210;"2006";"The Walt Disney Company Nordic";2006-01-27;"Chicken Little";"USA"
"1635";"Taalat taskuun, Dick & Jane";39193;"2006";"Nordisk Film Theatrical Distribution Oy";2006-01-27;"Fun with Dick and Jane";"USA"
"1636";"Viikset";3173;"2006";"Cinema Mondo Oy";2006-01-27;"La Moustache";"RANSKA"
"1637";"Huhupuhetta";5630;"2006";"Sandrew Metronome Dist.";2006-01-20;"Rumor Has It...";"USA"
"1638";"Kätketty";7688;"2006";"Future Film";2006-01-20;"Caché";"RANSKA"
"1639";"Match Point";28953;"2006";"Scanbox Finland Oy";2006-01-20;"Match Point";"USA"
"1640";"Merijalkaväen mies";13858;"2006";"The Walt Disney Company Nordic";2006-01-20;"Jarhead";"USA"
"1641";"Unna ja Nuuk";56173;"2006";"FS Film Oy";2006-01-20;"Unna ja Nuuk";"SUOMI"
"1642";"Wallander: Mastermind";793;"2006";"FS Film Oy";2006-01-20;"Wallander: Mastermind";"RUOTSI"
"1643";"Matti";461665;"2006";"The Walt Disney Company Nordic";2006-01-13;"Matti";"SUOMI"
"1644";"Treffit Drewn kanssa";249;"2006";"Sandrew Metronome Dist.";2006-01-13;"My Date with Drew";"USA"
"1645";"Houkutus";9532;"2006";"Nordisk Film Theatrical Distribution Oy";2006-01-06;"Derailed";"USA"
"1646";"Saw 2";19491;"2006";"Scanbox Finland Oy";2006-01-06;"Saw 2";"USA"
"1647";"Yksi puhelu tullut";133;"2005";"Future Film";2005-12-31;"Chakushin ari";"JAPANI"
"1648";"FC Venus";237784;"2005";"Nordisk Film Theatrical Distribution Oy";2005-12-30;"FC Venus";"SUOMI"
"1649";"Iberia";2871;"2005";"Kamras Film Group";2005-12-30;"Iberia";"ESPANJA"
"1650";"Rahantekijä";4211;"2005";"Nordisk Film Theatrical Distribution Oy";2005-12-30;"Two For The Money";"USA"
"1651";"Jäätävää satoa";751;"2005";"Nordisk Film Theatrical Distribution Oy";2005-12-23;"The Ice Harvest";"USA"
"1652";"Narnian tarinat: Velho ja Leijona";212189;"2005";"The Walt Disney Company Nordic";2005-12-23;"The Chronicles of Narnia 1";"USA"
"1653";"Seitsemän miekkaa";1405;"2005";"Sandrew Metronome Dist.";2005-12-23;"Seven Swords";"KIINA"
"1654";"Ylpeys ja ennakkoluulo";49734;"2005";"Finnkino / United International Pictures";2005-12-23;"Pride and Prejudice";"ENGLANTI"
"1655";"Millions";1259;"2005";"Finnkino Oy";2005-12-16;"Millions";"ENGLANTI-USA"
"1656";"Perheen jalokivi";8152;"2005";"FS Film Oy";2005-12-16;"The Family Stone";"USA"
"1657";"Päivä ilman sotaa";2678;"2005";"Future Film";2005-12-16;"Joyeux Noël";"RANSKA"
"1658";"King Kong";124405;"2005";"The Walt Disney Company Nordic";2005-12-14;"King Kong";"USA"
"1659";"Neljä veljeä";1803;"2005";"The Walt Disney Company Nordic";2005-12-09;"Four Brothers";"USA"
"1660";"The Big White";978;"2005";"Scanbox Finland Oy";2005-12-09;"The Big White";"USA"
"1661";"The Descent";4060;"2005";"FS Film Oy";2005-12-09;"The Descent";"ENGLANTI"
"1662";"Unelmä bändistä - Tjenare Kungen";2056;"2005";"Sandrew Metronome Dist.";2005-12-09;"Tjenare Kungen";"RUOTSI"
"1663";"Jospa se vain olisi totta";3164;"2005";"The Walt Disney Company Nordic";2005-12-02;"Just Like Heaven";"USA"
"1664";"Kiss, Kiss, Bang, Bang";7751;"2005";"Sandrew Metronome Dist.";2005-12-02;"Kiss, Kiss, Bang, Bang";"USA"
"1665";"Lupaus";156019;"2005";"Nordisk Film Theatrical Distribution Oy";2005-12-02;"Lupaus";"SUOMI"
"1666";"Pingviinien matka";82749;"2005";"Cinema Mondo Oy";2005-12-02;"LaMarche de l'empereur";"RANSKA-USA"
"1667";"Viiru ja Pesonen joulupuuhissa";60089;"2005";"FS Film Oy";2005-12-02;"Pettson & Findus: Tomtemaskinen";"RUOTSI"
"1668";"Domino";3305;"2005";"Nordisk Film Theatrical Distribution Oy";2005-11-25;"Domino";"USA"
"1669";"Pinnan alla";10232;"2005";"FS Film Oy";2005-11-25;"Into the Blue";"USA"
"1670";"Vaarallisia suhteita";1777;"2005";"Cinema Mondo Oy";2005-11-25;"Joseon namnyeo sangyeol ji sa";"KOREA"
"1671";"Vain koiraihmisille";1665;"2005";"Sandrew Metronome Dist.";2005-11-25;"Must Love Dogs";"USA"
"1672";"Ghost In The Shell 2: Innocence";2517;"2005";"Bio Rex Cinemas";2005-11-18;"Ghost In The Shell 2: Innocence";"JAPANI"
"1673";"Harry Potter ja liekehtivä pikari";400876;"2005";"Sandrew Metronome Dist.";2005-11-18;"Harry Potter and The Goblet of Fire";"ENGLANTI"
"1674";"Innocence - Viattomuus";6851;"2005";"Cinema Mondo Oy";2005-11-18;"Innocence";"BELGIA-RANSKA-ENGLAN"
"1675";"Lord of War";25206;"2005";"Scanbox Finland Oy";2005-11-18;"Lord of War";"USA"
"1676";"Mene, näe, elä";523;"2005";"Future Film";2005-11-18;"Va, vis et deviens";"RANSKA"
"1677";"Pitkin tietä pieni lapsi";1866;"2005";"FS Film Oy";2005-11-18;"Pitkin tietä pieni lapsi";"SUOMI"
"1678";"Elizabethtown";4595;"2005";"The Walt Disney Company Nordic";2005-11-11;"Elizabethtown";"USA"
"1679";"Emily Rosen riivaaja";26334;"2005";"Nordisk Film Theatrical Distribution Oy";2005-11-11;"Exorcims of Emily Rose, The";"USA"
"1680";"Siniset sanat";909;"2005";"Kamras Film Group";2005-11-11;"Les Mots bleus";"RANSKA"
"1681";"Sky High";289;"2005";"The Walt Disney Company Nordic";2005-11-11;"Sky High";"USA"
"1682";"Doom";10472;"2005";"The Walt Disney Company Nordic";2005-11-04;"Doom";"USA"
"1683";"Kesken jäänyt elämä";10035;"2005";"Nordisk Film Theatrical Distribution Oy";2005-11-04;"An Unfinished life";"USA"
"1684";"Lainakengissä";27762;"2005";"FS Film Oy";2005-11-04;"In Her Shoes";"USA"
"1685";"Tim Burton's Corpse Bride";23642;"2005";"Sandrew Metronome Dist.";2005-11-04;"Tim Burton's Corpse Bride";"ENGLANTI"
"1686";"A History of Violence";22928;"2005";"FS Film Oy";2005-10-28;"A History of Violence";"KANADA-USA"
"1687";"Santapeikko";2865;"2005";"Scanbox Finland Oy";2005-10-28;"Five Children and It";"ENGLANTI-USA"
"1688";"Uskollinen puutarhuri";17877;"2005";"Sandrew Metronome Dist.";2005-10-28;"The Constant Gardener";"USA"
"1689";"Zorron legenda";44279;"2005";"Nordisk Film Theatrical Distribution Oy";2005-10-28;"The Legend of Zorro";"USA"
"1690";"Flightplan";44455;"2005";"The Walt Disney Company Nordic";2005-10-21;"Flightplan";"USA"
"1691";"Grimmin veljekset";18363;"2005";"Nordisk Film Theatrical Distribution Oy";2005-10-21;"Brothers Grimm";"USA"
"1692";"Kylläisyyden päiväsi ovat luetut";218;"2005";"Kamras Film Group";2005-10-21;"Die Fetten Jahre sind vorbei";"SAKSA"
"1693";"Tyttö sinä olet tähti";132104;"2005";"Finnkino Oy";2005-10-21;"Tyttö sinä olet tähti";"SUOMI"
"1694";"Zozo";3811;"2005";"Sandrew Metronome Dist.";2005-10-21;"Zozo";"TANSKA-RUOTSI"
"1695";"Inside Deep Throat";202;"2005";"Nordisk Film Theatrical Distribution Oy";2005-10-14;"Inside Deep Throat";"USA"
"1696";"Seksi, toivo ja rakkaus";1518;"2005";"Future Film";2005-10-14;"Sex, hopp och kärlek";"RUOTSI"
"1697";"Vaimoni on noita";8744;"2005";"Nordisk Film Theatrical Distribution Oy";2005-10-14;"Bewitched";"USA"
"1698";"Wallace & Gromit - Kanin kirous";161990;"2005";"Finnkino / United International Pictures";2005-10-14;"Wallace & Gromit in The Curse of The Were Rabbit";"ENGLANTI"
"1699";"Broken Flowers";69644;"2005";"Nordisk Film Theatrical Distribution Oy";2005-10-07;"Broken Flowers";"USA"
"1700";"Goal!";3869;"2005";"The Walt Disney Company Nordic";2005-10-07;"Goal!";"USA"
"1701";"Havanna Blues";3593;"2005";"Cinema Mondo Oy";2005-10-07;"Habana Blues";"KUUBA-ESPANJA"
"1702";"Valo";52333;"2005";"FS Film Oy";2005-10-07;"Valo";"SUOMI"
"1703";"Rautakolmonen";3796;"2005";"Cinema Mondo Oy";2005-09-30;"Bin-jip";"JAPANI"
"1704";"Yövartio";11343;"2005";"FS Film Oy";2005-09-30;"Nochnoi dozor";"VENÄJÄ"
"1705";"Äideistä parhain";219020;"2005";"Nordisk Film Theatrical Distribution Oy";2005-09-30;"Äideistä parhain";"SUOMI"
"1706";"Cinderella Man";9729;"2005";"The Walt Disney Company Nordic";2005-09-23;"Cinderella Man";"USA"
"1707";"Liikkuva linna";37045;"2005";"Cinema Mondo Oy";2005-09-23;"Hauru no ugoku shiro";"JAPANI"
"1708";"Manderlay";2813;"2005";"Kamras Film Group";2005-09-23;"Manderlay";"TANSKA-SAKSAN LTV"
"1709";"Sophie Scholl - viimeiset päivät";4296;"2005";"Future Film";2005-09-23;"Sophie Scholl - Die Letzen Tage";"SAKSA"
"1710";"The Dukes of Hazzard";17037;"2005";"Sandrew Metronome Dist.";2005-09-23;"The Dukes of Hazzard";"USA"
"1711";"Battle Royale II";752;"2005";"Sandrew Metronome Dist.";2005-09-19;"Batoru rowaiaru II: Rekuiemu";"JAPANI"
"1712";"Jali ja suklaatehdas";115131;"2005";"Sandrew Metronome Dist.";2005-09-16;"Charlie and The Chocolate Factory";"USA"
"1713";"Yölento";15768;"2005";"The Walt Disney Company Nordic";2005-09-16;"Red Eye";"USA"
"1714";"Kaksipäisen kotkan varjossa";64946;"2005";"The Walt Disney Company Nordic";2005-09-09;"Kaksipäisen kotkan varjossa";"SUOMI"
"1715";"L'amore di Marja";7941;"2005";"FS Film Oy";2005-09-09;"L'amore di Marja";"ITALIA"
"1716";"Paradise Now";1270;"2005";"Kamras Film Group";2005-09-09;"Paradise Now";"SAKSA-RANSKA"
"1717";"Crash";57733;"2005";"Scanbox Finland Oy";2005-09-02;"Crash";"USA-SAKSA"
"1718";"Danny The Dog";4274;"2005";"Nordisk Film Theatrical Distribution Oy";2005-09-02;"Unleashed";"RANSKA-ENGLANTI"
"1719";"Kuokkavieraat";31023;"2005";"FS Film Oy";2005-09-02;"Wedding Crashers";"USA"
"1720";"Madagaskar";233164;"2005";"The Walt Disney Company Nordic";2005-09-02;"Madagascar";"USA"
"1721";"Factotum";2611;"2005";"FS Film Oy";2005-08-26;"Factotum";"NORJA"
"1722";"Game Over";16449;"2005";"FS Film Oy";2005-08-26;"Game Over";"SUOMI"
"1723";"It's All Gone Pete Tong";1129;"2005";"Future Film";2005-08-26;"It's All Gone Pete Tong";"ENGLANTI"
"1724";"The Skeleton Key";14536;"2005";"The Walt Disney Company Nordic";2005-08-26;"The Skeleton Key";"USA"
"1725";"Anoppi on pahin";25769;"2005";"FS Film Oy";2005-08-19;"Monster in Law";"USA"
"1726";"Lords of Dogtown";2523;"2005";"Nordisk Film Theatrical Distribution Oy";2005-08-19;"Lords of Dogtown";"USA"
"1727";"Riemukupla: Tankki täyteen";54332;"2005";"The Walt Disney Company Nordic";2005-08-19;"Herbie: Fully Loaded";"USA"
"1728";"The Island";46176;"2005";"Sandrew Metronome Dist.";2005-08-19;"The Island";"USA"
"1729";"The 40 Year Old Virgin";13809;"2005";"The Walt Disney Company Nordic";2005-08-19;"The 40 Year Old Virgin";"USA"
"1730";"Amityville Horror";12287;"2005";"Scanbox Finland Oy";2005-08-12;"Amityville Horror";"USA"
"1731";"Koti-ikävä";23523;"2005";"Finnkino Oy";2005-08-12;"Koti-ikävä";"SUOMI"
"1732";"Valiant";35174;"2005";"Scanbox Finland Oy";2005-08-12;"Valiant";"ENGLANTI"
"1733";"Kiukun parempi puoli";14975;"2005";"Scanbox Finland Oy";2005-08-05;"The Upside of Anger";"USA"
"1734";"Kuolleiden valtakunta";7362;"2005";"The Walt Disney Company Nordic";2005-08-05;"Land of the Dead";"USA"
"1735";"Linnunradan käsikirja liftareille";79554;"2005";"The Walt Disney Company Nordic";2005-08-05;"The Hitchhiker's Guide to The Galaxy";"ENGLANTI-USA"
"1736";"Moolaadé - suojelus";898;"2005";"Kamras Film Group";2005-08-05;"Moolaadé";"SENGAL"
"1737";"Tekstiilit";1162;"2005";"Cinema Mondo Oy";2005-08-05;"Les Textiles";"RANSKA"
"1738";"Fantastic Four";63379;"2005";"FS Film Oy";2005-07-29;"Fantastic Four";"USA"
"1739";"Tumma vesi";7188;"2005";"The Walt Disney Company Nordic";2005-07-29;"Dark Water";"USA"
"1740";"Sin City";99484;"2005";"FS Film Oy";2005-07-22;"Sin City";"USA"
"1741";"Batman Begins";137987;"2005";"Sandrew Metronome Dist.";2005-07-15;"Batman Begins";"USA"
"1742";"Toolbox Murders";130;"2005";"Future Film";2005-07-15;"Toolbox Murders";"USA"
"1743";"V*tun neljätoista";13421;"2005";"Bio Rex Cinemas";2005-07-15;"Fjorton Suger";"RUOTSI"
"1744";"Ilo on kokonaan minun";4676;"2005";"Cinema Mondo Oy";2005-07-08;"Tout le plaisir est pour moi";"RANSKA"
"1745";"Rakkaus meno&paluu";7166;"2005";"Future Film";2005-07-08;"5 x 2";"RANSKA"
"1746";"Sahara";24125;"2005";"Nordisk Film Theatrical Distribution Oy";2005-07-08;"Sahara";"USA"
"1747";"A Lot Like Love";14847;"2005";"The Walt Disney Company Nordic";2005-07-01;"A Lot Like Love";"USA"
"1748";"Maailmojen sota";121462;"2005";"The Walt Disney Company Nordic";2005-06-29;"War of The Worlds";"USA"
"1749";"Cursed";2826;"2005";"FS Film Oy";2005-06-26;"Cursed";"USA"
"1750";"Kung Fu Hustle";15917;"2005";"Nordisk Film Theatrical Distribution Oy";2005-06-17;"Kung Fu Hustle";"HONGKONG-KANADA"
"1751";"Mr. and Mrs. Smith";121599;"2005";"FS Film Oy";2005-06-10;"Mr. and Mrs. Smith";"USA"
"1752";"Salamaseepra";53009;"2005";"Nordisk Film Theatrical Distribution Oy";2005-06-10;"Racing Stripes";"USA"
"1753";"Being Julia";4952;"2005";"FS Film Oy";2005-06-03;"Being Julia";"USA"
"1754";"The Pacifier - Tuttisoturi";12478;"2005";"The Walt Disney Company Nordic";2005-06-03;"The Pacifier";"USA"
"1755";"The Yes Men";3849;"2005";"Scanbox Finland Oy";2005-06-03;"The Yes Men";"USA"
"1756";"Håkan Bråkan & Josef";2188;"2005";"FS Film Oy";2005-05-27;"Håkan Brpkan & Josef";"RUOTSI"
"1757";"Panttivanki";17215;"2005";"Nordisk Film Theatrical Distribution Oy";2005-05-27;"Hostage";"USA"
"1758";"White Noise";3399;"2005";"The Walt Disney Company Nordic";2005-05-27;"White Noise";"USA"
"1759";"Star Wars: Episodi III Sithin kosto";269901;"2005";"FS Film Oy";2005-05-19;"Star Wars: Episode III - Revenge of The Sith";"USA"
"1760";"Boogeyman";11137;"2005";"Nordisk Film Theatrical Distribution Oy";2005-05-13;"Boogeyman";"USA"
"1761";"Steve Zissoun vedenalainen maailma";7481;"2005";"The Walt Disney Company Nordic";2005-05-13;"The Life Aquatic With Steve Zissou";"USA"
"1762";"Takaisin maalle - masjävlar";21563;"2005";"Sandrew Metronome Dist.";2005-05-13;"Masjävlar";"RUOTSI"
"1763";"Kingdom of Heaven - taivas maan päällä";85231;"2005";"FS Film Oy";2005-05-04;"Kingdom of Heaven";"ENGLANTI-USA"
"1764";"Sidottu";5113;"2005";"Nordisk Film Theatrical Distribution Oy";2005-04-29;"The Jacket";"SAKSA-ENGLANTI-USA"
"1765";"xXx2 The Next Level";14674;"2005";"FS Film Oy";2005-04-26;"xXx2 The Next Level";"USA"
"1766";"Bernin ihme";1334;"2005";"Kamras Film Group";2005-04-22;"Das Wunder von Bern";"SAKSA"
"1767";"Hawaii, Oslo";2281;"2005";"Scanbox Finland Oy";2005-04-22;"Hawaii, Oslo";"NORJA"
"1768";"Vaihtolippu";1502;"2005";"Kinoscreen Illusion";2005-04-22;"Tur & Retur";"RUOTSI"
"1769";"Sammakoiden ennustus";8915;"2005";"Cinema Mondo Oy";2005-04-15;"La prophetie des grenouilles";"RANSKA"
"1770";"The Woodsman";4796;"2005";"Future Film";2005-04-15;"The Woodsman";"USA"
"1771";"Tulkki";55344;"2005";"The Walt Disney Company Nordic";2005-04-15;"The Interpreter";"USA"
"1772";"Be Cool";36245;"2005";"FS Film Oy";2005-04-08;"Be Cool";"USA"
"1773";"Miss FBI - aseistettu ja ihana";19942;"2005";"Sandrew Metronome Dist.";2005-04-08;"Miss Congeniality 2: Armed and Fabolous";"USA"
"1774";"Richard Nixonin salamurha";2601;"2005";"Nordisk Film Theatrical Distribution Oy";2005-04-08;"The Assassination of Richard Nixon";"USA"
"1775";"Hide and Seek";27635;"2005";"FS Film Oy";2005-04-01;"Hide & Seek";"USA"
"1776";"Hääheila";7742;"2005";"Nordisk Film Theatrical Distribution Oy";2005-04-01;"The Wedding Date";"USA"
"1777";"Petollinen on ihmissydän";2055;"2005";"Cinema Mondo Oy";2005-04-01;"Le Livre de Jérémie";"RANSKA"
"1778";"Reikä sydämessäni";705;"2005";"Sandrew Metronome Dist.";2005-04-01;"Ett Hål i mitt hjärta";"RUOTSI"
"1779";"In Good Company";12619;"2005";"Sandrew Metronome Dist.";2005-03-25;"In Good Company";"USA"
"1780";"The Ring 2";72033;"2005";"The Walt Disney Company Nordic";2005-03-25;"The Ring 2";"USA"
"1781";"Venetsian kauppias";18173;"2005";"Scanbox Finland Oy";2005-03-25;"Merchant of Venice";"USA"
"1782";"Elvis Has Left The Building";819;"2005";"Scanbox Finland Oy";2005-03-18;"Elvis Has Left The Building";"USA"
"1783";"Hyökkäys poliisiasemalle";5126;"2005";"Nordisk Film Theatrical Distribution Oy";2005-03-18;"Assault On Precinct 13";"USA"
"1784";"Kello 5 iltapäivällä";1079;"2005";"Kamras Film Group";2005-03-18;"À cinq heures de l'après-midi";"AFGANISTAN"
"1785";"Paimenet";2884;"2005";"FS Film Oy";2005-03-18;"Paimenet";"SUOMI"
"1786";"Robots";81023;"2005";"FS Film Oy";2005-03-18;"Robots";"USA"
"1787";"Hitch - Lemmentohtori";46517;"2005";"Nordisk Film Theatrical Distribution Oy";2005-03-11;"Hitch";"USA"
"1788";"I Heart Huckabees";866;"2005";"Sandrew Metronome Dist.";2005-03-11;"I Heart Huckabees";"USA"
"1789";"Million Dollar Baby";84392;"2005";"FS Film Oy";2005-03-11;"Million Dollar Baby";"USA"
"1790";"Niin kuin taivaassa";23575;"2005";"FS Film Oy";2005-03-11;"Så Som i Himmelen";"RUOTSI"
"1791";"Constantine";48840;"2005";"Sandrew Metronome Dist.";2005-03-04;"Constantine";"USA"
"1792";"Finding Neverland - tarinoiden lähteillä";44960;"2005";"FS Film Oy";2005-03-04;"Finding Neverland";"USA"
"1793";"Hotelli Ruanda";13753;"2005";"Scanbox Finland Oy";2005-03-04;"Hotel Rwanda";"ENGLANTI-ITALIA"
"1794";"Sen edestään löytää";3402;"2005";"FS Film Oy";2005-03-04;"Sen edestään löytää";"SUOMI"
"1795";"Hilpeys ja ennakkoluulo";1514;"2005";"Sandrew Metronome Dist.";2005-02-25;"Bride and Prejudice";"ENGLANTI"
"1796";"Honey Baby";814;"2005";"Future Film";2005-02-25;"Honey Baby";"SAKSA-SUOMI"
"1797";"Kinsey";1953;"2005";"Nordisk Film Theatrical Distribution Oy";2005-02-25;"Kinsey";"USA"
"1798";"Meri sisälläni";33081;"2005";"FS Film Oy";2005-02-25;"Mar Adentro";"ESPANJA"
"1799";"Spanglish - Käännöskukkasia";4545;"2005";"Nordisk Film Theatrical Distribution Oy";2005-02-25;"Spanglish";"USA"
"1800";"Eläville ja kuolleille";6096;"2005";"Sandrew Metronome Dist.";2005-02-18;"Eläville ja kuolleille";"SUOMI"
"1801";"Nalle Puh ja Möhköfantti";160810;"2005";"The Walt Disney Company Nordic";2005-02-18;"Pooh's Heffalump Movie";"USA"
